=== ALL-TIME RANKED TAGPRO TEAM RECORDS ===

## FULL GAME RECORDS (Including Overtime)

### HIGHS

#### Captures
  Match 3994537: Curry, realtea, CRYCHIC, Sanik - 0 (Loss)
  Match 4061656: D Rek, Marijuana, Dew1234, Baby_Shark - 0 (Loss)
  Match 3944518: Damian, Rizz, ANDYKANSAS, kojiro - 0 (Loss)
  Match 4137512: Doris, BallsToYou., `ArryKane, name333 - 0 (Win)
  Match 4137388: Doris, nej, Kep, Goofy Goober - 0 (Loss)
  Match 4140743: Dr. Toboggan, kmichael, ballsack123, NameLEss - 0 (Win)
  Match 4142147: Dr. Toboggan, Zoltan Mesko, mactheroni, tacotacotaco - 0 (Win)
  Match 4143229: Dr. Toboggan, may_hem, LewBird, BallsToYou. - 0 (Win)
  Match 4144028: Dr. Toboggan, Dayman, nej, MrDMoney - 0 (Loss)
  Match 3956289: EBITDA, rizzmaster, aeps002, ALCAEUS - 0 (Loss)
  Match 4142485: Fatback slim, Messy, Sambal 1, Atticus - 0 (Win)
  Match 4142479: Fatback slim, FL, Messy, timeboy - 0 (Loss)
  Match 4144793: Fatback slim, Messy, AJ., cereballsy - 0 (Loss)
  Match 3967996: FlyingV, Macbuckets, om, Duckquack - 0 (Loss)
  Match 4141776: G.O.A.T., I'm a horse, deku, Sminitrious - 0 (Loss)
  Match 4141827: Galvatron, gghob, timeboy, metalhead - 0 (Win)
  Match 3971760: HELEN KELLER, ||||||||||||, Russ, Curry - 0 (Win)
  Match 3938306: HammerTime, Zoltan Mesko, Deez Cashews, kojiro - 0 (Loss)
  Match 3939658: HammerTime, Xpecial, AVP, sinagot - 0 (Loss)
  Match 3965365: Hockeypuck, Swift, Rizz, laserpig - 0 (Loss)
  Match 3935034: Hurri, white, BLOWFISH, Beach - 0 (Loss)
  Match 3957214: I SHOUT, rolf, P-Money, Osy - 0 (Loss)
  Match 4141992: I'm a horse, JukeOfEarl, gghob, LewBird - 0 (Win)
  Match 4142068: I'm a horse, Maelstrom, sieh, Kep - 0 (Win)
  Match 4141769: I'm a horse, deku, Tumblewood, solongloser - 0 (Loss)
  Match 4142008: I'm a horse, HammerTime, \./, UNlTY - 0 (Loss)
  Match 4142230: I'm a horse, broseph, Sminitrious, BaII - 0 (Loss)
  Match 4042905: Iodized Salt, Toidi, anduin, joy. - 0 (Loss)
  Match 4136767: Irony, BallSaget, Cheezedoodle, yep - 0 (Win)
  Match 4137001: Irony, Nevermind, PASSTHEFLAG, jig - 0 (Win)
  Match 4138340: Irony, xcv, AJ., OuchMyBalls - 0 (Win)
  Match 4145439: Irony, deku, trippi, Dayman - 0 (Loss)
  Match 4140182: JKooter, whiff, Rabz, Carrrrrl - 0 (Win)
  Match 3965992: JKooter, LiddiLidd, McDavid, Klox - 0 (Loss)
  Match 4139065: JKooter, tbiol, 2k, itsasquid2 - 0 (Loss)
  Match 4139150: JKooter, rolf, Sommeballier, phlasid - 0 (Loss)
  Match 4139161: JKooter, Fatback slim, kmichael, Gvendolino - 0 (Loss)
  Match 4140068: JKooter, xcv, rolf, oldAlt - 0 (Loss)
  Match 4140307: JKooter, TheG, Daniel, Toidi - 0 (Loss)
  Match 4142547: JKooter, Sambal 1, cereballsy, xcv - 0 (Loss)
  Match 3935228: Jarek, Thanos Ball, Quacky, lvy - 0 (Loss)
  Match 4087582: JimBobCooter, @pro, Korgmonkey, fl33t - 0 (Loss)
  Match 4141769: JukeBerallta, G.O.A.T., danp, LewBird - 0 (Win)
  Match 3973974: JukeOfEarl, Bootymine, umad, Goofy Goober - 0 (Win)
  Match 4059288: Junoon, Sambal 1, Bamboozler, OuchMyBalls - 0 (Win)
  Match 3946448: Junoon, Stronk, Jukester, FreeFalastin - 0 (Loss)
  Match 3946523: K O, Junoon, Poeticalto, Homie - 0 (Win)
  Match 4140511: K O, Flat Earth, Mystic, gl hf :) - 0 (Win)
  Match 4140826: K O, meowza, Double A, Airmigo - 0 (Win)
  Match 4142830: K O, Phiip, Carrrrrl, metalhead - 0 (Win)
  Match 4001816: K O, kmichael, jerm, white - 0 (Loss)
  Match 4140209: K O, Rabz, KnightKnight, ninja - 0 (Loss)
  Match 4140397: K O, JKooter, Dad Jokes!, BallSaget - 0 (Loss)
  Match 4141316: K O, JimBobCooter, omni, CRYCHIC - 0 (Loss)
  Match 4143065: K O, SluffAndRuff, smoji_, Snowball - 0 (Loss)
  Match 4139197: KING KRULE, Borgus, Suchit, Carrrrrl - 0 (Win)
  Match 3988030: KING KRULE, wallsquirrel, Toidi, anom - 0 (Loss)
  Match 4139184: KING KRULE, tbiol, Carrrrrl, cereballsy - 0 (Loss)
  Match 3958155: KOB, Some Ball 64, C-3P0, Fuck - 0 (Loss)
  Match 4141333: KahnMan, T/\GPRO, trippi, glizzy23 - 0 (Loss)
  Match 4139197: Kep, snakes, phlasid, Gvendolino - 0 (Loss)
  Match 4142338: Kep, bergieberg, omni, Light - 0 (Loss)
  Match 4119992: KoaIa Beast, PuyoPuyo, S. Strasball, Horizon - 0 (Win)
  Match 4143466: Korgmonkey, Sambal 1, Osy, PBN - 0 (Loss)
  Match 4145294: LewBird, 555555555555, Russ, Mr awesome:) - 0 (Win)
  Match 4057067: LewBird, Messi, Batman., white - 0 (Loss)
  Match 4044177: LilB:BallGod, Relax, @pro, Messy - 0 (Loss)
  Match 4141099: LogisticMap, PBN, KALX, AJ. - 0 (Win)
  Match 4137297: LogisticMap, aardvark, yep, xcv - 0 (Loss)
  Match 4011414: MacbookProM4, metalhead, slime666, Lirath - 0 (Loss)
  Match 3945685: Macbuckets, Sawney, whateveritis, MURF - 0 (Loss)
  Match 4144429: Maelstrom, Toidi, Dayman, babyTron - 0 (Win)
  Match 4144816: Maelstrom, tha king, smoji_, Toidi - 0 (Win)
  Match 4024478: Maelstrom, jazzz, TheNerve, gueromoon - 0 (Loss)
  Match 4120741: Maelstrom, TheYoungWolf, zo2, rain - 0 (Loss)
  Match 4139706: Maelstrom, Sambal 1, sieh, Cheezedoodle - 0 (Loss)
  Match 4144773: Maelstrom, smoji_, xcv, kmichael - 0 (Loss)
  Match 4142147: Messy, BallsToYou., Oddball, oldAlt - 0 (Loss)
  Match 4143932: Messy, gl hf :), nej, MrDMoney - 0 (Loss)
  Match 4139754: Mos Def, `ArryKane, Sambal 1, omni - 0 (Win)
